refYear,cmdCode,value,share
2010,74,4393776314.0,0.009421009640587431
2010,75,310023026.0,0.0006647425148712492
2010,76,2357692223.0,0.005055296304376457
2010,78,255626252.0,0.0005481065061973549
2010,79,885691932.0,0.0018990753360328
2010,80,40322262.0,8.645784215775446e-05
2010,81,259072875.0,0.0005554966567626006
2010,82,1404580660.0,0.0030116617217584318
2010,83,785723917.0,0.0016847267743947145
2010,84,52030741950.0,0.11156283035073662
2010,85,110789265977.0,0.23755117881563648
2010,86,679551713.0,0.0014570753679589122
2010,87,53445486945.0,0.11459628614920306
2010,88,1245095544.0,0.002669698292582778
2010,89,46735317078.0,0.10020853163253418
2010,90,37829196137.0,0.08111228156216735
2010,91,77526801.0,0.0001662307517334628
2010,92,154186647.0,0.0003306026033251658
2010,93,244906721.0,0.0005251219940883081
2010,94,965492541.0,0.0020701815219162875
2010,95,435406802.0,0.0009335868251073973
2010,96,523291284.0,0.0011220262205181015
2010,97,135467487.0,0.0002904655152668185
2011,1,1721285.0,3.1002475037936237e-06
2011,2,39738129.0,7.157329276539273e-05
2011,3,1781495106.0,0.0032086933630381125
2011,4,19148556.0,3.448892132346033e-05
2011,5,130584889.0,0.0002351995608835361
2011,6,92352244.0,0.00016633783128926335
2011,7,138761906.0,0.0002499273814029318
2011,8,125638052.0,0.00022628969467258095
2011,9,45558717.0,8.20568927605191e-05
2011,10,7122663.0,1.2828798360592931e-05
2011,11,58387151.0,0.00010516249147664181
2011,12,305409315.0,0.0005500800079382964
2011,13,67294371.0,0.00012120549805064939
2011,14,60461.0,1.0889775041719779e-07
2011,15,107126106.0,0.00019294738681719246
2011,16,222438049.0,0.00040063848006633053
2011,17,473389337.0,0.0008526328355599268
2011,18,49107691.0,8.844903455256893e-05
2011,19,644622740.0,0.001161045405364949
2011,20,194666610.0,0.00035061867832721885
2011,21,927388360.0,0.0016703413136913774
2011,22,649896264.0,0.001170543675330234
2011,23,139886235.0,0.00025195243720466874
2011,24,638301213.0,0.0011496595521785712
2011,25,556787101.0,0.0010028425391609978
2011,26,251621278.0,0.00045320109047651113
2011,27,53088429157.0,0.09561883707480974
2011,28,4204332025.0,0.007572522775499607
2011,29,22468838577.0,0.04046916153425268
2011,30,1001072623.0,0.001803055798761905
2011,31,604205122.0,0.0010882482687409824
2011,32,1718686371.0,0.0030955670510675872
2011,33,860876606.0,0.0015505454058019601
2011,34,647171113.0,0.0011656353408096808
2011,35,384599384.0,0.0006927111316293149
